"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1908","Canada","2021A000011124","Seeded area (acres)","Barley","Acres","28","units","0","v46457","1.1.6","1745700","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Beans, all dry (white and coloured)","Acres","28","units","0","v54532262","1.1.39","59900","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Beans, dry white","Acres","28","units","0","v54532263","1.1.40","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Beans, dry coloured","Acres","28","units","0","v54532264","1.1.41","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Borage seed","Acres","28","units","0","v54529215","1.1.37","","..","","t","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Buckwheat","Acres","28","units","0","v46806","1.1.12","291300","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Canary seed","Acres","28","units","0","v54529211","1.1.33","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Canola (rapeseed)","Acres","28","units","0","v47070","1.1.16","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Caraway seed","Acres","28","units","0","v54529213","1.1.35","","..","","t","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Chick peas","Acres","28","units","0","v54529216","1.1.38","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Coriander seed","Acres","28","units","0","v54529214","1.1.36","","..","","t","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Corn for grain","Acres","28","units","0","v46758","1.1.11","365800","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Corn for silage","Acres","28","units","0","v54528645","1.1.29","259800","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Faba beans","Acres","28","units","0","v54532265","1.1.42","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Flaxseed","Acres","28","units","0","v46969","1.1.14","139300","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Lentils","Acres","28","units","0","v54529210","1.1.32","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Mixed grains","Acres","28","units","0","v46686","1.1.10","581900","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Mustard seed","Acres","28","units","0","v54529208","1.1.30","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Oats","Acres","28","units","0","v46385","1.1.5","7911100","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Peas, dry","Acres","28","units","0","v46858","1.1.13","412900","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Rye, all","Acres","28","units","0","v46529","1.1.7","100300","","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Rye, all including fall rye remaining","Acres","28","units","0","v20145109","1.1.25","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Rye, fall remaining","Acres","28","units","0","v46598","1.1.8","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Rye, spring","Acres","28","units","0","v46662","1.1.9","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Rye, fall seeded in previous fall","Acres","28","units","0","v62427074","1.1.43","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Safflower","Acres","28","units","0","v54529212","1.1.34","","..","","t","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Soybeans","Acres","28","units","0","v47017","1.1.15","","..","","","0"
"1908","Canada","2021A000011124","Seeded area (acres)","Sugar beets","Acres","28","units","0","v54528643","1.1.27","10800","","","","0"
